length,name
2033.0,london
751.0,north-east
251.0,essex
153.0,dorset
57.0,derbyshire
54.0,somerset
20.0,northumberland
20.0,nottinghamshire
9.0,north-yorkshire
7.0,west-midlands
5.0,devon
5.0,greater-manchester
5.0,south-yorkshire
5.0,surrey
5.0,west-sussex
3.0,cheshire
3.0,hampshire
3.0,oxfordshire
3.0,staffordshire
3.0,west-yorkshire
2.0,buckinghamshire
2.0,hertfordshire
2.0,lancashire
2.0,leicestershire
2.0,northamptonshire
2.0,wiltshire
1.0,avon
1.0,bedfordshire
1.0,berkshire
1.0,cleveland
1.0,cornwall-and-isles-of-scilly
1.0,cumbria
1.0,east-sussex
1.0,gloucestershire
1.0,hereford-and-worcester
1.0,humberside
1.0,kent
1.0,liverpool-city-region
1.0,warwickshire
NA,cambridgeshire
NA,isle-of-wight
NA,lincolnshire
NA,norfolk
NA,shropshire
NA,suffolk
